metric,window,full_minus_fallback_mean,full_minus_fallback_std_over_points
dag_on_time_success_rate,1-20,0.023736416964289308,0.03026020236194211
dag_on_time_success_rate,21-40,0.006268525516582447,0.01835735142429588
dag_on_time_success_rate,41-60,-0.0013353233091236815,0.009752772039905275
dag_on_time_success_rate,61-80,0.003534610913996493,0.015873067949236323
dag_on_time_success_rate,81-100,-0.0021817199682253657,0.010402921505640315
dag_on_time_success_rate,91-100,-0.0008197312302899288,0.0077635452173351605
dag_high_risk_on_time_success_rate,1-20,0.02451108600546974,0.03226675451694431
dag_high_risk_on_time_success_rate,21-40,0.006114273712864836,0.01854574730498867
dag_high_risk_on_time_success_rate,41-60,-0.0015404518016117771,0.009894536535043796
dag_high_risk_on_time_success_rate,61-80,0.004007457061843524,0.016177248830699258
dag_high_risk_on_time_success_rate,81-100,-0.0019039516249120159,0.009497082100869393
dag_high_risk_on_time_success_rate,91-100,-0.0005359839818032246,0.0073349157329164515
dag_critical_path_finish_rate,1-20,-0.010789654856163112,0.00744922065527881
dag_critical_path_finish_rate,21-40,0.0010621787453574173,0.00508677619052419
dag_critical_path_finish_rate,41-60,0.003186198693044868,0.0045989797473563005
dag_critical_path_finish_rate,61-80,-0.002765821215951871,0.002678029810356789
dag_critical_path_finish_rate,81-100,-0.003173495130286132,0.0029806850299054465
dag_critical_path_finish_rate,91-100,-0.0033049005343187754,0.002481801568195606
dag_critical_path_on_time_rate,1-20,0.000680750928253645,0.0027659386903943445
dag_critical_path_on_time_rate,21-40,0.0021316094484597277,0.0031768479818802173
dag_critical_path_on_time_rate,41-60,0.0005361923437579141,0.0032254185257137844
dag_critical_path_on_time_rate,61-80,-0.0019234972777706669,0.0029638608979488854
dag_critical_path_on_time_rate,81-100,-0.0008910913352600062,0.0014500855811540108
dag_critical_path_on_time_rate,91-100,-0.0007236731470057869,0.0012723934656083424
dag_success_rate,1-20,0.024454041296290367,0.029550501686455243
dag_success_rate,21-40,0.007196468765616811,0.01860680190358214
dag_success_rate,41-60,-0.0011963100926818014,0.009959020407483582
dag_success_rate,61-80,0.0022342044713986437,0.015881276670688536
dag_success_rate,81-100,-0.0027347619656244828,0.010183018118471734
dag_success_rate,91-100,-0.0022922773713120303,0.00808398791743896
dag_failure_rate,1-20,-0.022831040135154294,0.02642886034709925
dag_failure_rate,21-40,-0.00675740121714738,0.017695820336406088
dag_failure_rate,41-60,0.0010623282411444024,0.009489184752825801
dag_failure_rate,61-80,-0.0020421809014370563,0.01517097140504687
dag_failure_rate,81-100,0.0028414656081170385,0.010136324448270184
dag_failure_rate,91-100,0.0018890605603155025,0.007783342491312056
dag_critical_path_avg_completion_time,1-20,-0.8781817298130982,0.7934253464509374
dag_critical_path_avg_completion_time,21-40,-0.21721006192899625,0.5398301814324983
dag_critical_path_avg_completion_time,41-60,0.03897289200730912,0.31748926776566744
dag_critical_path_avg_completion_time,61-80,-0.10130956045929823,0.3728624440149177
dag_critical_path_avg_completion_time,81-100,-0.035192912759907956,0.35948051950831117
dag_critical_path_avg_completion_time,91-100,-0.03824109463841138,0.344883546736967
