bucket_type,bucket,assignment_attempts,score_selected_count,fallback_selected_count,score_selected_rate,disagreement_count,disagreement_rate,teacher_disagreement_count,teacher_disagreement_rate,student_teacher_disagreement_count,student_teacher_disagreement_rate,score_count,score_mean_delta_planned_finish,score_median_delta_planned_finish,score_p90_delta_planned_finish,score_p95_delta_planned_finish,score_pct_delta_planned_finish_gt_0,score_pct_delta_planned_finish_gt_0.5,score_pct_delta_planned_finish_gt_1.0,score_mean_delta_deadline_margin,score_median_delta_deadline_margin,score_pct_delta_deadline_margin_lt_0,score_mean_delta_transmission_time,score_mean_delta_execution_time,score_mean_delta_queue_length,score_mean_delta_total_energy,score_teacher_mean_delta_planned_finish,score_teacher_pct_delta_planned_finish_gt_0,score_student_vs_teacher_mean_delta_finish,disagree_count,disagree_mean_delta_planned_finish,disagree_median_delta_planned_finish,disagree_p90_delta_planned_finish,disagree_p95_delta_planned_finish,disagree_pct_delta_planned_finish_gt_0,disagree_pct_delta_planned_finish_gt_0.5,disagree_pct_delta_planned_finish_gt_1.0,disagree_mean_delta_deadline_margin,disagree_median_delta_deadline_margin,disagree_pct_delta_deadline_margin_lt_0,disagree_mean_delta_transmission_time,disagree_mean_delta_execution_time,disagree_mean_delta_queue_length,disagree_mean_delta_total_energy,disagree_teacher_mean_delta_planned_finish,disagree_teacher_pct_delta_planned_finish_gt_0,disagree_student_vs_teacher_mean_delta_finish
all,all,164.0,86.0,34.0,0.524390243902439,38.0,0.23170731707317074,16.0,0.0975609756097561,33.0,0.20121951219512196,86.0,0.17587466839129276,0.0,0.6059783065384827,0.9792437145702899,0.4418604651162791,0.12790697674418605,0.05813953488372093,-0.17587466839129276,0.0,0.4418604651162791,-0.0024053532171573427,0.0019098492125000008,0.6976744186046512,-4.976835920387649,0.03665800536713625,0.13953488372093023,0.1392166630241565,38.0,0.39803214425397837,0.25525855336351577,1.0690744045360638,1.2742629170703972,1.0,0.2894736842105263,0.13157894736842105,-0.39803214425397837,-0.25525855336351544,1.0,-0.0054436941230403,0.004322290323026316,1.5789473684210527,-11.263365504035212,0.08295608377461987,0.2894736842105263,0.3150760604793585
risk,high_risk_task,155.0,85.0,26.0,0.5483870967741935,37.0,0.23870967741935484,16.0,0.1032258064516129,32.0,0.2064516129032258,85.0,0.17491324711835496,0.0,0.6090210342846001,0.9849838592133583,0.43529411764705883,0.12941176470588237,0.058823529411764705,-0.174913247118355,0.0,0.43529411764705883,-0.002433596494122036,-0.00026754968034313747,0.7058823529411765,-0.38926630630588627,0.037089276018514326,0.1411764705882353,0.13782397109984065,37.0,0.4018277298664912,0.2529216301360271,1.089451060119539,1.278960140282897,1.0,0.2972972972972973,0.13513513513513514,-0.4018277298664912,-0.25292163013602753,1.0,-0.005590694648658731,-0.0006146411575450448,1.6216216216216217,-0.8942604334054144,0.08519814009285284,0.2972972972972973,0.31662958977363836
risk,non_high_risk_task,9.0,1.0,8.0,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,1.0,0.1111111111111111,1.0,0.25759547659100446,0.25759547659100446,0.25759547659100446,0.25759547659100446,1.0,0.0,0.0,-0.25759547659100335,-0.25759547659100335,1.0,-4.674675158404095e-06,0.18698875510416668,0.0,-394.92025311733767,0.0,0.0,0.25759547659100446,1.0,0.25759547659100446,0.25759547659100446,0.25759547659100446,0.25759547659100446,1.0,0.0,0.0,-0.25759547659100335,-0.25759547659100335,1.0,-4.674675158404095e-06,0.18698875510416668,0.0,-394.92025311733767,0.0,0.0,0.25759547659100446
critical,critical_path_task,131.0,80.0,19.0,0.6106870229007634,36.0,0.2748091603053435,15.0,0.11450381679389313,31.0,0.2366412213740458,80.0,0.1799236017056809,0.0,0.6218217068461513,1.0181327655773713,0.45,0.1375,0.0625,-0.17992360170568092,0.0,0.45,-0.0025840695383310694,0.0020530879034375005,0.7625,-5.350097771831669,0.03940735576967147,0.15,0.14051624593600948,36.0,0.3998302260126243,0.24007227330550818,1.1098277157030156,1.2836573634953974,1.0,0.3055555555555556,0.1388888888888889,-0.39983022601262425,-0.24007227330550673,1.0,-0.005742376751846819,0.004562417563194446,1.6944444444444444,-11.889106159625928,0.08756475509543209,0.3055555555555556,0.31226547091719214
critical,non_critical_path_task,33.0,6.0,15.0,0.18181818181818182,2.0,0.06060606060606061,1.0,0.030303030303030304,2.0,0.06060606060606061,6.0,0.12188889086611725,0.0,0.3656666725983517,0.38869605514522676,0.3333333333333333,0.0,0.0,-0.12188889086611739,0.0,0.3333333333333333,-2.2468934840987992e-05,0.0,-0.16666666666666666,-1.1234467412653734e-05,0.0,0.0,0.12188889086611725,2.0,0.3656666725983517,0.3656666725983517,0.4025136846733518,0.4071195611827268,1.0,0.0,0.0,-0.36566667259835217,-0.36566667259835217,1.0,-6.740680452296398e-05,0.0,-0.5,-3.37034022379612e-05,0.0,0.0,0.3656666725983517
task_type,0,107.0,59.0,16.0,0.5514018691588785,29.0,0.27102803738317754,11.0,0.102803738317757,26.0,0.24299065420560748,59.0,0.17385528704762698,0.0,0.5577707631574955,0.7223596607849996,0.4915254237288136,0.11864406779661017,0.03389830508474576,-0.17385528704762696,0.0,0.4915254237288136,2.3719512153259053e-05,0.002448756102189267,0.9491525423728814,-4.759522334413419,0.04462169056532738,0.15254237288135594,0.1292335964822996,29.0,0.35370558399344804,0.25759547659100446,0.7413354256893625,1.113359366429441,1.0,0.2413793103448276,0.06896551724137931,-0.3537055839934479,-0.25759547659100335,1.0,4.825693851869947e-05,0.004981952069971268,1.9310344827586208,-9.683166128634195,0.0907731884557294,0.27586206896551724,0.2629323955377185
task_type,1,45.0,19.0,16.0,0.4222222222222222,7.0,0.15555555555555556,5.0,0.1111111111111111,5.0,0.1111111111111111,19.0,0.19165136841810113,0.0,0.6742006218034444,1.0425615651753593,0.3684210526315789,0.15789473684210525,0.10526315789473684,-0.19165136841810124,0.0,0.3684210526315789,-0.011059462718965457,0.0010405485392543847,0.21052631578947367,-7.74721086341212,0.02736361674838959,0.15789473684210525,0.16428775166971155,7.0,0.5201965714205602,0.2529216301360271,1.1464129473445392,1.250264329513718,1.0,0.42857142857142855,0.2857142857142857,-0.5201965714205604,-0.25292163013602753,1.0,-0.030018541665763378,0.002824346035119044,0.5714285714285714,-21.028143772118614,0.07427267403134317,0.42857142857142855,0.44592389738921706
task_type,2,12.0,8.0,2.0,0.6666666666666666,2.0,0.16666666666666666,0.0,0.0,2.0,0.16666666666666666,8.0,0.15329794323715806,0.0,0.3737840846799259,0.7927475391501613,0.25,0.125,0.125,-0.15329794323715795,0.0,0.25,0.00023374547097123905,0.0,0.0,0.00011687273548233179,0.0,0.0,0.15329794323715806,2.0,0.6131917729486323,0.6131917729486323,1.0920071494860446,1.151859071553221,1.0,0.5,0.5,-0.6131917729486318,-0.6131917729486318,1.0,0.0009349818838849562,0.0,0.0,0.00046749094192932716,0.0,0.0,0.6131917729486323
candidate_count_bucket,1,35.0,28.0,7.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_count_bucket,2,43.0,32.0,11.0,0.7441860465116279,16.0,0.37209302325581395,6.0,0.13953488372093023,12.0,0.27906976744186046,32.0,0.3158162416682768,0.020109278737494574,1.1798540487507843,1.3024462563453973,0.5,0.25,0.125,-0.3158162416682769,-0.02010927873749324,0.5,-0.0016289414433878586,-0.0020729898268229147,0.8125,9.104022777278304,0.07541404653617147,0.125,0.24040219513210537,16.0,0.6316324833365536,0.47682045266085193,1.3071434795578973,1.4339738344485222,1.0,0.5,0.25,-0.6316324833365538,-0.4768204526608528,1.0,-0.0032578828867757172,-0.004145979653645833,1.625,18.20804555455661,0.15082809307234293,0.25,0.48080439026421073
