episode,dag_id,arrival_time,total_tasks,successful,failed,incomplete,on_time_successful,completion_time,tardiness,is_high_risk_job,mode,seed,num_score_selected_assignments,num_disagreements,num_critical_disagreements,num_high_risk_disagreements,max_delta_planned_finish,mean_delta_planned_finish,has_large_delta_finish
1,dag_0_15_1,0.0,7,False,False,True,False,,,True,full,42,4.0,2,2,2,0.2955359351261182,0.10170107134883262,False
1,dag_0_17_2,0.0,7,False,False,True,False,,,True,full,42,2.0,0,0,0,0.0,0.0,False
1,dag_0_18_3,0.0,9,False,False,True,False,,,True,full,42,8.0,5,5,5,1.2117109936203976,0.19897595142723493,True
1,dag_0_36_4,0.0,10,False,False,True,False,,,True,full,42,6.0,5,5,5,0.2529216301360271,0.04584456542092748,False
1,dag_0_42_5,0.0,5,False,False,True,False,,,True,full,42,2.0,1,1,1,0.15109872435563876,0.05036624145187959,False
1,dag_0_54_6,0.0,5,False,False,True,False,,,True,full,42,4.0,3,3,3,0.5907646678078975,0.21628601478832105,False
1,dag_0_73_7,0.0,10,True,False,False,True,3.7836120424812973,0.0,True,full,42,9.0,0,0,0,0.0,0.0,False
1,dag_1_13_8,1.0,7,False,False,True,False,,,True,full,42,2.0,0,0,0,0.0,0.0,False
1,dag_1_24_9,1.0,10,False,False,True,False,,,True,full,42,5.0,4,4,4,1.0079444377856337,0.20009184800009008,True
1,dag_1_27_10,1.0,5,False,False,True,False,,,True,full,42,2.0,0,0,0,0.0,0.0,False
1,dag_1_31_11,1.0,5,False,False,True,False,,,True,full,42,2.0,0,0,0,0.0,0.0,False
1,dag_1_39_12,1.0,8,False,False,True,False,,,True,full,42,0.0,0,0,0,,,False
1,dag_1_47_13,1.0,7,False,False,True,False,,,True,full,42,1.0,0,0,0,0.0,0.0,False
1,dag_1_52_14,1.0,7,False,False,True,False,,,True,full,42,6.0,2,2,2,1.3541157116828972,0.27195002013900443,True
1,dag_1_55_15,1.0,9,False,False,True,False,,,True,full,42,3.0,3,3,2,0.33981056359100426,0.1330079945975855,False
1,dag_1_58_16,1.0,9,False,False,True,False,,,True,full,42,2.0,1,1,1,0.10324065956803397,0.02581016489200849,False
1,dag_1_63_17,1.0,6,False,False,True,False,,,True,full,42,0.0,0,0,0,,,False
1,dag_1_79_18,1.0,6,False,False,True,False,,,True,full,42,1.0,1,1,1,0.12125111077637829,0.04041703692545943,False
1,dag_1_80_19,1.0,5,False,False,True,False,,,True,full,42,1.0,1,1,1,0.17173563296362926,0.17173563296362926,False
1,dag_1_98_20,1.0,10,False,False,True,False,,,True,full,42,4.0,0,0,0,0.0,0.0,False
1,dag_2_1_21,2.0,8,False,False,True,False,,,True,full,42,1.0,0,0,0,0.0,0.0,False
1,dag_2_18_22,2.0,5,False,False,True,False,,,False,full,42,2.0,1,1,1,1.2601712474328974,0.6300856237164487,True
1,dag_2_26_23,2.0,5,False,False,True,False,,,True,full,42,3.0,2,2,2,0.627489561039901,0.4162271687696563,False
1,dag_2_34_24,2.0,10,False,False,True,False,,,True,full,42,2.0,1,1,1,1.6735482027453972,0.8367741013726986,True
1,dag_2_57_25,2.0,8,False,False,True,False,,,True,full,42,0.0,0,0,0,0.0,0.0,False
1,dag_2_66_26,2.0,10,False,False,True,False,,,True,full,42,0.0,0,0,0,,,False
1,dag_2_73_27,2.0,10,False,False,True,False,,,True,full,42,1.0,0,0,0,0.0,0.0,False
1,dag_2_74_28,2.0,7,False,False,True,False,,,True,full,42,2.0,0,0,0,0.0,0.0,False
1,dag_2_76_29,2.0,7,False,False,True,False,,,True,full,42,1.0,0,0,0,0.0,0.0,False
1,dag_3_14_30,3.0,8,False,False,True,False,,,True,full,42,3.0,3,1,3,0.5419154676296021,0.4244162709421018,False
1,dag_3_35_31,3.0,6,False,False,True,False,,,True,full,42,1.0,0,0,0,0.0,0.0,False
1,dag_3_54_32,3.0,8,False,False,True,False,,,True,full,42,1.0,1,1,1,0.7033838958806387,0.7033838958806387,False
1,dag_3_59_33,3.0,9,False,False,True,False,,,True,full,42,2.0,2,2,2,0.8931415449242586,0.3881893276161727,False
1,dag_3_72_34,3.0,7,False,False,True,False,,,False,full,42,0.0,0,0,0,,,False
1,dag_3_78_35,3.0,10,False,False,True,False,,,True,full,42,3.0,0,0,0,0.0,0.0,False
