metric,window,mean_diff,std_diff
dag_on_time_success_rate,1-20,-0.0016199440426891097,0.0011385991944104024
dag_on_time_success_rate,21-40,-0.001913911450841771,0.0013214529220615303
dag_on_time_success_rate,41-60,-0.0027973033215199137,0.0009320194867308199
dag_on_time_success_rate,61-80,-0.002255392119293348,0.00033104331129614527
dag_on_time_success_rate,81-100,-0.0027977371935565035,0.001140534022510646
dag_on_time_success_rate,91-100,-0.002117050121063576,0.0013661515320849708
dag_high_risk_on_time_success_rate,1-20,-0.0017100417521903287,0.0007162567687173036
dag_high_risk_on_time_success_rate,21-40,-0.0020892562979719594,0.00100801661034846
dag_high_risk_on_time_success_rate,41-60,-0.0026731726746128948,0.0007399413756583466
dag_high_risk_on_time_success_rate,61-80,-0.0017910451385913146,0.0004853859001619126
dag_high_risk_on_time_success_rate,81-100,-0.0028454258793699874,0.0009516928941880527
dag_high_risk_on_time_success_rate,91-100,-0.002407105307417843,0.0008230450141044673
dag_critical_path_finish_rate,1-20,-0.0006202654886519055,0.0004563298299183086
dag_critical_path_finish_rate,21-40,-0.00026176173788701923,0.00024290000369305836
dag_critical_path_finish_rate,41-60,-0.0007558440248490728,0.0005802160234497463
dag_critical_path_finish_rate,61-80,-0.00044737485361741786,0.00026191429041637874
dag_critical_path_finish_rate,81-100,-0.000786761570401325,3.403791935372797e-05
dag_critical_path_finish_rate,91-100,-0.0008350191392024753,0.0003616574879998473
dag_critical_path_on_time_rate,1-20,-0.00026823438187713783,0.00020051146370766838
dag_critical_path_on_time_rate,21-40,-0.000500829174022388,0.0005203875218644655
dag_critical_path_on_time_rate,41-60,-0.000268521462876814,0.0011832814305876775
dag_critical_path_on_time_rate,61-80,-0.0006845341907006919,0.0006215616893598093
dag_critical_path_on_time_rate,81-100,-0.0006751884227659266,0.0006006024314931193
dag_critical_path_on_time_rate,91-100,-0.0012025739726593265,0.00045298685495319304
dag_success_rate,1-20,-0.0011471087662247859,0.0013118949433033407
dag_success_rate,21-40,-0.001823700062254861,0.0010724798777404152
dag_success_rate,41-60,-0.002442178970050113,0.0008144904175408929
dag_success_rate,61-80,-0.001495017438948652,0.001762102519330518
dag_success_rate,81-100,-0.0020064525359837124,0.0008440153725578069
dag_success_rate,91-100,-0.0014026509299325345,0.0010525280719144805
dag_failure_rate,1-20,0.001333698177631737,0.0012024568422556248
dag_failure_rate,21-40,0.0019727199930740977,0.000899348915494291
dag_failure_rate,41-60,0.002431095685121195,0.0009237824885582194
dag_failure_rate,61-80,0.0015382897489450615,0.0017853247371614853
dag_failure_rate,81-100,0.0022068611136691154,0.0008268637425191373
dag_failure_rate,91-100,0.0017065655112442994,0.0010243905882032513
